3732 25386
15 19 4.0
6 35 4.0
16 37 4.0
2 45 4.0
1 47 4.0
1 56 4.0
10 70 4.0
37 73 4.0
50 75 4.0
7 76 4.0
41 81 4.0
58 83 4.0
65 84 4.0
82 85 4.0
46 87 4.0
82 89 4.0
49 92 4.0
86 95 4.0
14 96 4.0
73 99 4.0
59 100 4.0
4 101 4.0
52 105 4.0
81 105 4.0
48 111 4.0
98 117 4.0
31 118 4.0
99 118 4.0
115 118 4.0
83 120 4.0
78 121 4.0
84 123 4.0
94 123 4.0
55 124 4.0
122 124 4.0
57 125 4.0
10 126 4.0
28 126 4.0
112 126 4.0
70 128 4.0
112 129 4.0
86 130 4.0
102 131 4.0
66 132 4.0
29 134 4.0
39 134 4.0
51 135 4.0
99 135 4.0
86 137 4.0
42 138 4.0
115 142 4.0
126 146 4.0
101 147 4.0
121 147 4.0
48 148 4.0
74 149 4.0
137 152 4.0
22 153 4.0
130 155 4.0
62 156 4.0
127 162 4.0
143 163 4.0
158 163 4.0
54 165 4.0
5 166 4.0
20 167 4.0
34 173 4.0
106 174 4.0
5 178 4.0
53 182 4.0
144 183 4.0
148 185 4.0
154 186 4.0
188 189 4.0
183 190 4.0
98 191 4.0
168 192 4.0
148 193 4.0
113 195 4.0
165 197 4.0
1 198 4.0
129 199 4.0
44 200 4.0
177 200 4.0
27 201 4.0
19 204 4.0
76 204 4.0
132 206 4.0
185 208 4.0
183 210 4.0
173 211 4.0
47 212 4.0
111 212 4.0
84 218 4.0
105 218 4.0
15 221 4.0
143 223 4.0
179 223 4.0
13 224 4.0
17 226 4.0
66 226 4.0
197 226 4.0
65 227 4.0
108 227 4.0
201 227 4.0
104 228 4.0
152 229 4.0
90 231 4.0
127 231 4.0
210 231 4.0
107 232 4.0
2 233 4.0
3 233 4.0
187 234 4.0
213 234 4.0
96 236 4.0
181 236 4.0
203 237 4.0
97 239 4.0
38 240 4.0
207 240 4.0
28 242 4.0
54 242 4.0
126 245 4.0
237 245 4.0
96 246 4.0
4 250 4.0
168 250 4.0
241 251 4.0
201 252 4.0
191 253 4.0
48 254 4.0
78 256 4.0
32 257 4.0
159 258 4.0
165 258 4.0
222 258 4.0
83 259 4.0
1 262 4.0
44 262 4.0
167 262 4.0
168 265 4.0
46 266 4.0
78 266 4.0
205 266 4.0
128 268 4.0
257 272 4.0
129 274 4.0
143 274 4.0
58 276 4.0
221 277 4.0
252 278 4.0
120 281 4.0
260 281 4.0
131 282 4.0
14 283 4.0
9 286 4.0
65 286 4.0
250 287 4.0
51 290 4.0
256 291 4.0
136 292 4.0
194 292 4.0
250 294 4.0
112 295 4.0
82 296 4.0
112 296 4.0
153 297 4.0
165 297 4.0
181 298 4.0
12 301 4.0
46 302 4.0
109 303 4.0
149 304 4.0
185 305 4.0
247 305 4.0
9 306 4.0
47 306 4.0
104 306 4.0
1 307 4.0
40 307 4.0
238 307 4.0
163 309 4.0
105 311 4.0
292 312 4.0
82 313 4.0
75 315 4.0
110 315 4.0
125 315 4.0
210 316 4.0
155 319 4.0
299 319 4.0
260 321 4.0
314 321 4.0
35 322 4.0
214 324 4.0
112 325 4.0
121 326 4.0
133 329 4.0
74 331 4.0
16 333 4.0
149 333 4.0
306 334 4.0
50 335 4.0
264 336 4.0
318 336 4.0
21 338 4.0
39 338 4.0
203 338 4.0
301 339 4.0
156 340 4.0
203 341 4.0
284 341 4.0
327 341 4.0
7 342 4.0
6 345 4.0
30 346 4.0
296 346 4.0
326 347 4.0
230 348 4.0
163 349 4.0
195 349 4.0
301 349 4.0
217 352 4.0
128 354 4.0
188 355 4.0
282 356 4.0
22 357 4.0
185 357 4.0
222 357 4.0
212 358 4.0
322 359 4.0
252 361 4.0
30 362 4.0
43 363 4.0
186 363 4.0
298 363 4.0
123 365 4.0
170 365 4.0
