2000 5800
1 2 1000
1 11 1000
1 12 1000
1 51 1000
1 52 1000
2 3 1000
2 11 1000
2 12 1000
2 13 1000
2 51 1000
2 52 1000
2 53 1000
3 4 1000
3 12 1000
3 13 1000
3 14 1000
3 52 1000
3 53 1000
3 54 1000
4 5 1000
4 13 1000
4 14 1000
4 15 1000
4 53 1000
4 54 1000
4 55 1000
5 6 1000
5 14 1000
5 15 1000
5 16 1000
5 54 1000
5 55 1000
5 56 1000
6 7 1000
6 15 1000
6 16 1000
6 17 1000
6 55 1000
6 56 1000
6 57 1000
7 8 1000
7 16 1000
7 17 1000
7 18 1000
7 56 1000
7 57 1000
7 58 1000
8 9 1000
8 17 1000
8 18 1000
8 19 1000
8 57 1000
8 58 1000
8 59 1000
9 10 1000
9 18 1000
9 19 1000
9 20 1000
9 58 1000
9 59 1000
9 60 1000
10 19 1000
10 20 1000
10 59 1000
10 60 1000
11 12 1000
11 21 1000
11 22 1000
11 61 1000
11 62 1000
12 13 1000
12 21 1000
12 22 1000
12 23 1000
12 61 1000
12 62 1000
12 63 1000
13 14 1000
13 22 1000
13 23 1000
13 24 1000
13 62 1000
13 63 1000
13 64 1000
14 15 1000
14 23 1000
14 24 1000
14 25 1000
14 63 1000
14 64 1000
14 65 1000
15 16 1000
15 24 1000
15 25 1000
15 26 1000
15 64 1000
15 65 1000
15 66 1000
16 17 1000
16 25 1000
16 26 1000
16 27 1000
16 65 1000
16 66 1000
16 67 1000
17 18 1000
17 26 1000
17 27 1000
17 28 1000
17 66 1000
17 67 1000
17 68 1000
18 19 1000
18 27 1000
18 28 1000
18 29 1000
18 67 1000
18 68 1000
18 69 1000
19 20 1000
19 28 1000
19 29 1000
19 30 1000
19 68 1000
19 69 1000
19 70 1000
20 29 1000
20 30 1000
20 69 1000
20 70 1000
21 22 1000
21 31 1000
21 32 1000
21 71 1000
21 72 1000
22 23 1000
22 31 1000
22 32 1000
22 33 1000
22 71 1000
22 72 1000
22 73 1000
23 24 1000
23 32 1000
23 33 1000
23 34 1000
23 72 1000
23 73 1000
23 74 1000
24 25 1000
24 33 1000
24 34 1000
24 35 1000
24 73 1000
24 74 1000
24 75 1000
25 26 1000
25 34 1000
25 35 1000
25 36 1000
25 74 1000
25 75 1000
25 76 1000
26 27 1000
26 35 1000
26 36 1000
26 37 1000
26 75 1000
26 76 1000
26 77 1000
27 28 1000
27 36 1000
27 37 1000
27 38 1000
27 76 1000
27 77 1000
27 78 1000
28 29 1000
28 37 1000
28 38 1000
28 39 1000
28 77 1000
28 78 1000
28 79 1000
29 30 1000
29 38 1000
29 39 1000
29 40 1000
29 78 1000
29 79 1000
29 80 1000
30 39 1000
30 40 1000
30 79 1000
30 80 1000
31 32 1000
31 41 1000
31 42 1000
31 81 1000
31 82 1000
32 33 1000
32 41 1000
32 42 1000
32 43 1000
32 81 1000
32 82 1000
32 83 1000
33 34 1000
33 42 1000
33 43 1000
33 44 1000
33 82 1000
33 83 1000
33 84 1000
34 35 1000
34 43 1000
34 44 1000
34 45 1000
34 83 1000
34 84 1000
34 85 1000
35 36 1000
35 44 1000
35 45 1000
35 46 1000
35 84 1000
35 85 1000
35 86 1000
36 37 1000
36 45 1000
36 46 1000
36 47 1000
36 85 1000
36 86 1000
36 87 1000
37 38 1000
37 46 1000
37 47 1000
37 48 1000
37 86 1000
37 87 1000
37 88 1000
38 39 1000
38 47 1000
38 48 1000
38 49 1000
38 87 1000
38 88 1000
38 89 1000
39 40 1000
39 48 1000
39 49 1000
39 50 1000
39 88 1000
39 89 1000
39 90 1000
40 49 1000
40 50 1000
40 89 1000
40 90 1000
41 42 1000
41 91 1000
41 92 1000
42 43 1000
42 91 1000
42 92 1000
42 93 1000
43 44 1000
43 92 1000
43 93 1000
43 94 1000
44 45 1000
44 93 1000
44 94 1000
44 95 1000
45 46 1000
45 94 1000
45 95 1000
45 96 1000
46 47 1000
46 95 1000
46 96 1000
46 97 1000
47 48 1000
47 96 1000
47 97 1000
47 98 1000
48 49 1000
48 97 1000
48 98 1000
48 99 1000
49 50 1000
49 98 1000
49 99 1000
49 100 1000
50 99 1000
50 100 1000
51 52 1000
51 61 1000
51 62 1000
51 101 1000
51 102 1000
52 53 1000
52 61 1000
52 62 1000
52 63 1000
52 101 1000
52 102 1000
52 103 1000
53 54 1000
53 62 1000
53 63 1000
53 64 1000
53 102 1000
53 103 1000
53 104 1000
54 55 1000
54 63 1000
54 64 1000
54 65 1000
54 103 1000
54 104 1000
54 105 1000
55 56 1000
55 64 1000
55 65 1000
55 66 1000
55 104 1000
55 105 1000
55 106 1000
56 57 1000
56 65 1000
56 66 1000
56 67 1000
56 105 1000
56 106 1000
56 107 1000
57 58 1000
57 66 1000
57 67 1000
57 68 1000
57 106 1000
57 107 1000
57 108 1000
58 59 1000
58 67 1000
58 68 1000
58 69 1000
58 107 1000
58 108 1000
58 109 1000
59 60 1000
59 68 1000
59 69 1000
59 70 1000
59 108 1000
59 109 1000
59 110 1000
60 69 1000
60 70 1000
60 109 1000
60 110 1000
61 62 1000
61 71 1000
61 72 1000
61 111 1000
61 112 1000
62 63 1000
62 71 1000
62 72 1000
62 73 1000
62 111 1000
62 112 1000
62 113 1000
63 64 1000
63 72 1000
63 73 1000
63 74 1000
63 112 1000
63 113 1000
63 114 1000
64 65 1000
64 73 1000
64 74 1000
64 75 1000
64 113 1000
64 114 1000
64 115 1000
65 66 1000
65 74 1000
65 75 1000
65 76 1000
65 114 1000
65 115 1000
65 116 1000
66 67 1000
66 75 1000
66 76 1000
66 77 1000
66 115 1000
66 116 1000
66 117 1000
67 68 1000
67 76 1000
67 77 1000
67 78 1000
67 116 1000
67 117 1000
67 118 1000
68 69 1000
68 77 1000
68 78 1000
68 79 1000
68 117 1000
68 118 1000
68 119 1000
69 70 1000
69 78 1000
69 79 1000
69 80 1000
69 118 1000
69 119 1000
69 120 1000
70 79 1000
70 80 1000
70 119 1000
70 120 1000
71 72 1000
71 81 1000
71 82 1000
71 121 1000
71 122 1000
72 73 1000
72 81 1000
72 82 1000
72 83 1000
72 121 1000
72 122 1000
72 123 1000
73 74 1000
73 82 1000
73 83 1000
73 84 1000
73 122 1000
73 123 1000
73 124 1000
74 75 1000
74 83 1000
74 84 1000
74 85 1000
74 123 1000
74 124 1000
74 125 1000
75 76 1000
75 84 1000
75 85 1000
75 86 1000
75 124 1000
75 125 1000
75 126 1000
76 77 1000
76 85 1000
76 86 1000
76 87 1000
76 125 1000
76 126 1000
76 127 1000
77 78 1000
77 86 1000
77 87 1000
77 88 1000
77 126 1000
77 127 1000
77 128 1000
78 79 1000
78 87 1000
78 88 1000
78 89 1000
78 127 1000
78 128 1000
